"average_months_on_waiting_list","average_months_since_moved_in","county","percent_62_or_more_head_or_spouse","percent_85_or_more_head_or_spouse","percent_minority","percent_occupied","state","total_wait"
25,108,"=""Autauga County""",20,1,87,98,"=""AL""",133
44,91,"=""Baldwin County""",43,3,55,82,"=""AL""",135
6,97,"=""Barbour County""",29,2,87,83,"=""AL""",103
12,74,"=""Bibb County""",45,2,70,97,"=""AL""",86
8,76,"=""Blount County""",50,4,7,95,"=""AL""",84
8,62,"=""Bullock County""",24,2,99,81,"=""AL""",70
8,90,"=""Butler County""",29,2,87,83,"=""AL""",98
11,79,"=""Calhoun County""",34,2,63,82,"=""AL""",90
16,86,"=""Chambers County""",30,2,85,94,"=""AL""",102
6,57,"=""Cherokee County""",57,3,12,97,"=""AL""",63
6,80,"=""Chilton County""",36,2,57,98,"=""AL""",86
NA,93,"=""Clarke County""",8,NA,96,84,"=""AL""",92
4,85,"=""Clay County""",30,1,47,87,"=""AL""",89
8,72,"=""Cleburne County""",34,2,23,93,"=""AL""",80
7,72,"=""Coffee County""",30,2,65,89,"=""AL""",79
14,82,"=""Colbert County""",28,1,50,85,"=""AL""",96
2,90,"=""Conecuh County""",26,1,90,95,"=""AL""",92
20,91,"=""Coosa County""",16,NA,91,100,"=""AL""",111
9,75,"=""Covington County""",32,1,53,97,"=""AL""",84
5,76,"=""Crenshaw County""",29,1,73,91,"=""AL""",81
10,73,"=""Cullman County""",49,4,4,89,"=""AL""",83
34,82,"=""Dale County""",29,2,70,83,"=""AL""",116
17,97,"=""Dallas County""",26,1,97,79,"=""AL""",114
7,69,"=""DeKalb County""",41,2,8,97,"=""AL""",76
9,85,"=""Elmore County""",33,0,71,79,"=""AL""",94
10,87,"=""Escambia County""",36,3,84,89,"=""AL""",97
6,75,"=""Etowah County""",30,1,53,90,"=""AL""",81
6,82,"=""Fayette County""",27,2,42,96,"=""AL""",88
3,57,"=""Franklin County""",38,2,8,94,"=""AL""",60
11,95,"=""Geneva County""",36,2,41,96,"=""AL""",106
75,141,"=""Greene County""",19,0,97,95,"=""AL""",216
NA,86,"=""Hale County""",17,NA,96,93,"=""AL""",85
8,91,"=""Henry County""",41,4,67,88,"=""AL""",99
377,71,"=""Houston County""",27,2,79,88,"=""AL""",448
6,79,"=""Jackson County""",37,2,15,95,"=""AL""",85
18,102,"=""Jefferson County""",27,1,94,87,"=""AL""",120
5,78,"=""Lamar County""",26,2,38,95,"=""AL""",83
8,67,"=""Lauderdale County""",37,2,44,80,"=""AL""",75
32,60,"=""Lawrence County""",25,NA,34,95,"=""AL""",92
29,91,"=""Lee County""",24,2,90,84,"=""AL""",120
21,83,"=""Limestone County""",31,1,49,81,"=""AL""",104
12,56,"=""Lowndes County""",9,1,98,81,"=""AL""",68
7,91,"=""Macon County""",25,1,98,82,"=""AL""",98
21,84,"=""Madison County""",32,2,79,86,"=""AL""",105
17,109,"=""Marengo County""",21,1,98,87,"=""AL""",126
3,73,"=""Marion County""",36,3,17,98,"=""AL""",76
6,74,"=""Marshall County""",38,2,14,93,"=""AL""",80
16,99,"=""Mobile County""",26,1,90,80,"=""AL""",115
3,59,"=""Monroe County""",34,1,73,92,"=""AL""",62
25,92,"=""Montgomery County""",23,1,94,98,"=""AL""",117
31,94,"=""Morgan County""",43,4,55,73,"=""AL""",125
7,100,"=""Perry County""",18,0,100,87,"=""AL""",107
10,114,"=""Pickens County""",24,2,86,95,"=""AL""",124
8,83,"=""Pike County""",22,3,85,84,"=""AL""",91
7,88,"=""Randolph County""",49,5,59,90,"=""AL""",95
18,81,"=""Russell County""",25,1,89,82,"=""AL""",99
12,79,"=""St. Clair County""",31,0,50,91,"=""AL""",91
25,82,"=""Shelby County""",33,1,62,94,"=""AL""",107
14,102,"=""Sumter County""",28,2,98,86,"=""AL""",116
5,69,"=""Talladega County""",32,2,75,95,"=""AL""",74
12,87,"=""Tallapoosa County""",32,1,78,97,"=""AL""",99
34,93,"=""Tuscaloosa County""",29,2,88,84,"=""AL""",127
5,69,"=""Walker County""",33,1,30,74,"=""AL""",74
6,120,"=""Washington County""",19,NA,90,99,"=""AL""",126
8,125,"=""Wilcox County""",23,1,97,96,"=""AL""",133
3,73,"=""Winston County""",39,3,4,95,"=""AL""",76
2,79,"=""Anchorage Municipality""",41,3,66,90,"=""AK""",81
NA,97,"=""Bethel Census Area""",21,2,98,91,"=""AK""",96
NA,67,"=""Chugach Census Area""",49,1,29,90,"=""AK""",66
NA,NA,"=""Dillingham Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,72,"=""Fairbanks North Star Borough""",33,1,46,90,"=""AK""",71
NA,NA,"=""Haines Borough""",NA,NA,NA,NA,"=""AK""",-8
NA,NA,"=""Hoonah-Angoon Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,91,"=""Juneau City and Borough""",41,2,60,86,"=""AK""",90
NA,65,"=""Kenai Peninsula Borough""",46,3,21,89,"=""AK""",64
NA,85,"=""Ketchikan Gateway Borough""",50,2,40,93,"=""AK""",84
NA,61,"=""Kodiak Island Borough""",28,1,61,91,"=""AK""",60
NA,NA,"=""Kusilvak Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,79,"=""Matanuska-Susitna Borough""",45,2,16,88,"=""AK""",78
NA,127,"=""Nome Census Area""",26,NA,83,70,"=""AK""",126
NA,NA,"=""Northwest Arctic Borough""",NA,NA,NA,NA,"=""AK""",-8
NA,71,"=""Petersburg Borough""",41,2,27,94,"=""AK""",70
NA,NA,"=""Prince of Wales-Hyder Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,63,"=""Sitka City and Borough""",44,2,36,94,"=""AK""",62
NA,57,"=""Wrangell City and Borough""",29,NA,50,91,"=""AK""",56
14,98,"=""Apache County""",57,8,61,88,"=""AZ""",112
5,87,"=""Cochise County""",52,4,61,90,"=""AZ""",92
26,99,"=""Coconino County""",32,1,54,86,"=""AZ""",125
19,65,"=""Gila County""",56,4,37,97,"=""AZ""",84
NA,72,"=""Graham County""",78,7,39,91,"=""AZ""",71
26,99,"=""Maricopa County""",42,3,64,90,"=""AZ""",125
25,82,"=""Mohave County""",63,2,17,75,"=""AZ""",107
9,85,"=""Navajo County""",35,1,66,85,"=""AZ""",94
14,100,"=""Pima County""",39,3,64,92,"=""AZ""",114
47,97,"=""Pinal County""",35,1,65,79,"=""AZ""",144
11,125,"=""Santa Cruz County""",55,7,97,93,"=""AZ""",136
3,71,"=""Yavapai County""",86,7,11,74,"=""AZ""",74
17,79,"=""Yuma County""",37,3,81,106,"=""AZ""",96
11,71,"=""Arkansas County""",32,2,71,57,"=""AR""",82
21,75,"=""Ashley County""",36,1,70,87,"=""AR""",96
3,65,"=""Baxter County""",42,4,6,82,"=""AR""",68
32,74,"=""Benton County""",56,6,17,78,"=""AR""",106
10,53,"=""Boone County""",40,4,4,84,"=""AR""",63
9,86,"=""Bradley County""",32,2,89,89,"=""AR""",95
3,42,"=""Calhoun County""",24,NA,71,77,"=""AR""",45
8,61,"=""Carroll County""",48,3,7,89,"=""AR""",69
64,72,"=""Chicot County""",39,0,94,59,"=""AR""",136
